iter	Passed	Remaining
880	1742	235
881	1744	233
882	1745	231
883	1746	229
884	1748	227
885	1749	225
886	1751	223
887	1754	221
888	1756	219
889	1757	217
890	1759	215
891	1760	213
892	1761	211
893	1763	209
894	1764	207
895	1766	204
896	1768	203
897	1770	201
898	1772	199
899	1773	197
900	1775	195
901	1776	192
902	1777	190
903	1778	188
904	1780	186
905	1781	184
906	1785	183
907	1787	181
908	1788	179
909	1790	177
910	1792	175
911	1793	173
912	1794	171
913	1796	169
914	1799	167
915	1801	165
916	1802	163
917	1803	161
918	1805	159
919	1806	157
920	1808	155
921	1809	153
922	1810	151
923	1812	149
924	1814	147
925	1816	145
926	1817	143
927	1819	141
928	1820	139
929	1821	137
930	1823	135
931	1824	133
932	1826	131
933	1828	129
934	1830	127
935	1831	125
936	1833	123
937	1834	121
938	1836	119
939	1837	117
940	1839	115
941	1840	113
942	1842	111
943	1845	109
944	1846	107
945	1848	105
946	1849	103
947	1851	101
948	1852	99
949	1853	97
950	1855	95
951	1856	93
952	1859	91
953	1860	89
954	1862	87
955	1863	85
956	1865	83
957	1866	81
958	1867	79
959	1869	77
960	1871	75
961	1875	74
962	1878	72
963	1880	70
964	1882	68
965	1883	66
966	1886	64
967	1887	62
968	1889	60
969	1891	58
970	1892	56
971	1894	54
972	1895	52
973	1897	50
974	1898	48
975	1900	46
976	1902	44
977	1903	42
978	1906	40
979	1907	38
980	1908	36
981	1910	35
982	1911	33
983	1913	31
984	1914	29
985	1916	27
986	1917	25
987	1919	23
988	1921	21
989	1923	19
990	1924	17
991	1926	15
992	1928	13
993	1929	11
994	1931	9
995	1932	7
996	1933	5
997	1936	3
998	1937	1
999	1939	0
